time_s,decimated_V,nn_kalman_V,fixed_kalman_V
0.09800000,3.45703125,3.45986996,3.45713373
0.09840000,3.29101562,3.29149365,3.29111519
0.09880000,3.11523438,3.11572838,3.11533979
0.09920000,2.94433594,2.94479779,2.94443843
0.09960000,2.77832031,2.77875091,2.77841988
0.10000000,2.60742188,2.60787757,2.60752437
0.10040000,2.43164062,2.43254202,2.43174604
0.10080000,2.47558594,2.47527925,2.47555966
0.10120000,2.64648438,2.64505102,2.64638193
0.10160000,2.72460938,2.72428901,2.72456249
0.10200000,2.66601562,2.66622719,2.66605072
0.10240000,2.66601562,2.66601646,2.66601565
0.10280000,2.70507812,2.70489084,2.70505471
0.10320000,2.73925781,2.73904101,2.73923731
0.10360000,2.77343750,2.77317526,2.77341700
0.10400000,2.81250000,2.81193243,2.81247657
0.10440000,2.84179688,2.84096421,2.84177930
0.10480000,2.88085938,2.87890174,2.88083595
0.10520000,2.91015625,2.90934174,2.91013868
0.10560000,2.94921875,2.94726819,2.94919533
0.10600000,2.98828125,2.98534823,2.98825782
0.10640000,3.01757812,3.01449049,3.01756055
0.10680000,3.05664062,3.05170314,3.05661720
0.10720000,3.08593750,3.08175620,3.08591993
0.10760000,3.12500000,3.11882348,3.12497658
0.10800000,3.10058594,3.10285760,3.10060056
0.10840000,2.84179688,2.88169977,2.84195199
0.10880000,2.72949219,2.72994796,2.72955959
0.10920000,2.69531250,2.69541202,2.69533303
0.10960000,2.67089844,2.67096526,2.67091308
0.11000000,2.64160156,2.64167597,2.64161913
0.11040000,2.61718750,2.61725504,2.61720214
0.11080000,2.58300781,2.58311438,2.58302831
0.11120000,2.55859375,2.55874039,2.55860840
0.11160000,2.53417969,2.53441982,2.53419433
0.11200000,2.50000000,2.50048534,2.50002050
0.11240000,2.47558594,2.47615829,2.47560058
0.11280000,2.44628906,2.44742965,2.44630663
0.11320000,2.42187500,2.42317997,2.42188964
0.11360000,2.38769531,2.39019797,2.38771581
0.11400000,2.36328125,2.36505090,2.36329590
0.11440000,2.33886719,2.34097540,2.33888183
0.11480000,2.30468750,2.30795860,2.30470800
0.11520000,2.28027344,2.28207661,2.28028808
0.11560000,2.33886719,2.33446314,2.33883208
0.11600000,2.72949219,2.69001664,2.72925804
0.11640000,3.11523438,3.07466049,3.11500303
0.11680000,3.14453125,3.13620308,3.14451355
0.11720000,3.08593750,3.09261145,3.08597261
0.11760000,3.03222656,3.03453654,3.03225878
0.11800000,2.97363281,2.97470333,2.97366795
0.11840000,2.91503906,2.91648758,2.91507420
0.11880000,2.86132812,2.86167840,2.86136034
0.11920000,2.80273438,2.80294219,2.80276951
0.11960000,2.74414062,2.74429545,2.74417577
0.12000000,2.69042969,2.69058487,2.69046190
0.12040000,2.63183594,2.63215764,2.63187108
0.12080000,2.57812500,2.57865643,2.57815721
0.12120000,2.51953125,2.52049421,2.51956639
0.12160000,2.46582031,2.46715270,2.46585253
0.12200000,2.40722656,2.40920245,2.40726170
0.12240000,2.34863281,2.35101383,2.34866795
0.12280000,2.29492188,2.29734813,2.29495409
0.12320000,2.23632812,2.23919816,2.23636326
0.12360000,2.22167969,2.22251418,2.22168849
0.12400000,2.23632812,2.23564848,2.23631935
0.12440000,2.25097656,2.25025898,2.25096778
0.12480000,2.25585938,2.25562537,2.25585644
0.12520000,2.26562500,2.26532039,2.26561915
0.12560000,2.27539062,2.27520847,2.27538477
0.12600000,2.27539062,2.27538682,2.27539062
0.12640000,2.29003906,2.28949332,2.29003028
0.12680000,2.29492188,2.29454624,2.29491894
0.12720000,2.29492188,2.29487612,2.29492187
0.12760000,2.31445312,2.31058345,2.31444142
0.12800000,2.31445312,2.31332138,2.31445312
0.12840000,2.32421875,2.31995645,2.32421290
